Tempo_s,Temperatura_C,Setpoint_C,PWM_aplicado,Parametro_a1,Parametro_b0,P11,P22
0.0017408,27.22,40,255,0.9703454535318,0.0185966303739272,0.000243008278888871,0.000174997490462953
10.018601,27.71,40,255,0.970826776060922,0.0187385700677397,0.000252676495042277,0.000182249299197318
20.042634,29.67,40,255,0.972584910792587,0.0189579604884247,0.000262541893497721,0.000189832699367392
30.0666839,33.09,40,255,0.999,0.0189579604884247,0.00022041636606024,0.000164194074489418
40.0670699,35.53,40,255,0.986812497629936,0.00992511784783248,6.62888994075242e-05,1.91066565397866e-05
50.0672458,38.47,40,219,0.984881942533447,0.0118326359278614,5.98155640839294e-05,1.08864879401437e-05
60.0925138,40.91,40,178,0.984875873098656,0.0118390044956941,5.93109633898424e-05,8.04048921863702e-06
70.092839,42.86,40,139,0.985325303539403,0.0113264475110692,6.0454520138612e-05,6.64859754972287e-06
80.1165995,45.31,40,96,0.985186062944207,0.0115023111423834,6.23039195481058e-05,5.85756118389364e-06
90.1168255,45.8,40,60,0.985305826520237,0.0106678744358597,6.48909674440255e-05,5.66721628854084e-06
100.1427034,46.29,40,30,0.984948077170182,0.0104048117670592,6.73362115375342e-05,5.76355295547021e-06
110.1668378,45.8,40,11,0.983635597581815,0.0102534087306958,6.89414722786134e-05,5.98772693300218e-06
120.1671771,45.8,40,1,0.983249562331808,0.0102826938962895,6.89291675911628e-05,6.22061329975408e-06
130.1676258,44.33,40,0,0.98044437141575,0.0107249844709398,6.69053985758746e-05,6.35809846486012e-06
140.1931275,43.84,40,0,0.980574808035293,0.0106987111653931,6.35426768122727e-05,6.3734810430259e-06
150.2168779,42.86,40,0,0.979971312720426,0.0108346332205356,5.94971868883709e-05,6.29952736148008e-06
160.2426554,42.86,40,0,0.981983688586398,0.0103573548873073,5.57046631518441e-05,6.20922947380614e-06
170.2429535,41.89,40,0,0.981539101224087,0.010463367978365,5.2436390508861e-05,6.15014128224449e-06
180.2431658,40.42,40,0,0.980084477676549,0.0108102270024228,4.98438183723e-05,6.13475427425127e-06
190.2433427,39.44,40,4,0.979745906287505,0.0108909602902735,4.78607717102615e-05,6.15952579882063e-06
200.2668549,39.44,40,7,0.981203570952033,0.0105433761034247,4.62669635870278e-05,6.21215961267492e-06
210.292425,38.47,40,14,0.980799229482907,0.0106397924494991,4.48336805367694e-05,6.27988989282412e-06
220.3167111,37.98,40,21,0.98121708429713,0.0105401538087632,4.36825919285054e-05,6.3698834369487e-06
230.3425682,37.49,40,30,0.981504448217923,0.0104743928643459,4.28310139000356e-05,6.49538258436412e-06
240.366784,37,40,39,0.981701018520681,0.0104310329658097,4.22008033577138e-05,6.64852609608133e-06
250.3670106,37,40,46,0.982448438319146,0.0102826440779495,4.18778780626824e-05,6.84351161552835e-06
260.3923567,36.02,40,57,0.981721338142556,0.010408605060627,4.17706188775873e-05,7.07307203738162e-06
270.3925662,36.51,40,64,0.98272400663086,0.0102773090844313,4.20155125048791e-05,7.34213919934123e-06
280.3927478,36.51,40,71,0.982983479407556,0.0102551585142858,4.24431564388915e-05,7.63842011596584e-06
290.393427,37,40,74,0.983659228134406,0.0102276466533678,4.30527550226153e-05,7.95476672952226e-06
300.4170716,37,40,78,0.983679927727775,0.0102284923142627,4.38952242332432e-05,8.28462741820556e-06
310.4172244,37.49,40,79,0.984064754593505,0.0102711939477476,4.49256784789002e-05,8.61998825977695e-06
320.442612,37.98,40,78,0.984355297714031,0.0103254047361296,4.61112622649313e-05,8.9552611127693e-06
330.466541,37.49,40,79,0.983832178836288,0.0102123027265954,4.73760485864581e-05,9.2977078076552e-06
340.4668208,38.47,40,76,0.984394781654863,0.0103816489602194,4.88192770913817e-05,9.63702210613618e-06
350.467046,38.47,40,74,0.984231649723598,0.010335714584877,5.02766786680658e-05,9.99283756237352e-06
360.4674652,39.44,40,68,0.984812323884451,0.0104882984838681,5.17770423126099e-05,1.03681567746308e-05
370.492776,40.42,40,59,0.985399983967232,0.0106322367647238,5.32915754716247e-05,1.07615972208526e-05
380.4929242,39.93,40,54,0.984777342402748,0.010531559093691,5.47008606438674e-05,1.11887882846775e-05
390.5168339,39.93,40,50,0.98462584396128,0.0105096436630101,5.61631247382394e-05,1.16378926425504e-05
400.5170139,40.42,40,44,0.985011195679932,0.0105321237116667,5.74785735442177e-05,1.21193177011364e-05
410.5433647,39.44,40,43,0.983830950481319,0.010592302950056,5.84028196613825e-05,1.26204656817956e-05
420.5438978,39.44,40,42,0.983911423943419,0.0105854848312665,5.92701740288353e-05,1.31350764527041e-05
430.5668206,38.95,40,44,0.983410477507569,0.0106453889251083,5.99672424264155e-05,1.36570245652429e-05
440.5925891,38.95,40,45,0.983658262339357,0.0106051790965961,6.04327984077088e-05,1.41725283748046e-05
450.5934473,38.95,40,46,0.98391255864262,0.0105620028239827,6.08730758908504e-05,1.47031534414822e-05
460.5936039,38.95,40,47,0.984173165934413,0.0105157696000642,6.12862376938289e-05,1.52489612942905e-05
470.6172053,38.95,40,48,0.984384256814018,0.0104817459545286,6.18689198080848e-05,1.58331323436122e-05
480.6424706,38.47,40,51,0.983922381204891,0.0105520715080068,6.25566320086342e-05,1.64490259560387e-05
490.6428143,39.44,40,49,0.985343830444144,0.0103574802006468,6.34308985234319e-05,1.71019383991117e-05
500.6665246,38.95,40,50,0.984817352738975,0.0104304216958212,6.42514874613283e-05,1.77795387667455e-05
510.6668174,38.95,40,50,0.984931694885666,0.0104166165131842,6.52701816765441e-05,1.84961774468945e-05
520.667666,39.44,40,49,0.985575178415974,0.01036389958317,6.65396336189165e-05,1.92571187705527e-05
530.692734,38.95,40,49,0.985033089434085,0.0104275061197387,6.76437422628772e-05,2.00365289679806e-05
540.7166369,38.95,40,50,0.985107037251461,0.0104204796174952,6.89587471259664e-05,2.08578097559312e-05
550.7263189,37.98,40,55,0.984014405339387,0.0105243012156697,7.03318054911638e-05,2.17133400251824e-05
560.7390824,38.95,40,55,0.985249129270235,0.0104118724915744,7.18542435467797e-05,2.26063881390026e-05
570.7428886,38.95,40,55,0.985328383497393,0.0104030714669254,7.32667434003865e-05,2.35288193557563e-05
580.7433311,38.47,40,57,0.984815231660573,0.0104515541234201,7.48254780777865e-05,2.44958502298261e-05
590.7665557,38.47,40,59,0.984824459716559,0.0104517954494012,7.69230792321716e-05,2.55158129989916e-05
600.7671845,37.98,40,62,0.984348054077461,0.0104393368060573,7.91070463777123e-05,2.65782735096888e-05
610.7673359,37.98,40,66,0.98436739652272,0.0104402349997379,8.14585671263454e-05,2.76836646805017e-05
620.7928726,37.49,40,71,0.983936932092115,0.0103912323027761,8.40540920265098e-05,2.88268020284598e-05
630.7939683,38.95,40,69,0.985030388936356,0.0106484827712339,8.69640170863094e-05,2.99951340290141e-05
640.8172095,38.47,40,69,0.98461112333936,0.0105342314678001,8.99963695541454e-05,3.12010337309055e-05
651.7255027,38.47,40,70,0.984556421172946,0.0104981032910113,9.3452764431968e-05,3.23730730052455e-05
661.7434138,38.95,40,69,0.984653496629874,0.0106650502324088,9.72550948654556e-05,3.34512287339793e-05
671.7608292,38.95,40,67,0.984593202964527,0.0106076980155774,0.0001011077807425,3.46644211838887e-05
681.7674219,39.93,40,62,0.984961314654118,0.0109578512417568,0.000105123283534888,3.59302338278859e-05
691.7926432,39.44,40,60,0.984645795480637,0.0106991819456007,0.000109261144194484,3.72644914674234e-05
701.8165075,40.42,40,55,0.985052378726619,0.0110226777085961,0.000113572525814062,3.86645083622509e-05
