Tempo_s,Temperatura_C,PWM_0_255,Tensao_V
0,24.29,27,0.5209643408069
10,24.78,51,0.996213161481168
20,25.27,73,1.42731241485559
30,25.27,93,1.82518176683117
40,26.25,110,2.16223377629612
50,27.71,124,2.42750782765604
60,28.2,136,2.65765438716995
70,30.65,142,2.79393785291718
80,31.13,148,2.90570007834725
90,32.6,151,2.96501258821283
100,35.04,150,2.94455981610924
110,35.53,149,2.91177448156748
120,37.49,144,2.82230448183592
130,39.44,137,2.67972097559033
140,39.93,129,2.53427949514995
150,40.91,121,2.37206807453758
160,42.38,111,2.17822451189871
170,43.35,100,1.96988401085662
180,43.35,91,1.7793890429125
190,43.35,82,1.60643088775202
200,43.84,73,1.43377375408622
210,44.33,64,1.26011745660488
220,43.84,57,1.1163792203819
230,43.35,51,1.00111739186547
240,42.38,47,0.927738632812948
250,43.35,42,0.830570246581678
260,42.38,39,0.771324708892077
270,41.89,37,0.732937761720606
280,40.91,37,0.729817321648028
290,40.42,38,0.743690140324034
300,39.93,39,0.772719109757304
310,39.44,42,0.815421193895025
320,39.93,43,0.839072343149732
330,38.47,46,0.906858471593472
340,38.47,49,0.97049465718067
350,37.98,53,1.04528641551287
360,37.49,58,1.13041332118355
370,37.49,62,1.209664853098
380,37.98,65,1.26714586942385
390,37.49,68,1.33543971235857
400,37.49,71,1.39917218530854
410,37.49,74,1.458728245913
420,37.98,76,1.4984846774951
430,38.47,77,1.51940716491467
440,38.47,78,1.53863184165223
450,37.98,80,1.57291895844624
460,38.47,81,1.59046636069946
470,38.95,81,1.59182050006439
480,38.95,81,1.59323624691792
490,38.95,81,1.59539594235613
500,39.44,81,1.58266979624541
510,39.44,80,1.5713361801316
520,38.95,80,1.57751228349874
530,39.44,80,1.56908876323415
540,39.93,79,1.54603254323344
550,39.93,78,1.52471170816176
560,40.42,76,1.48977900101541
570,39.93,75,1.47348482822269
580,40.42,74,1.44375576516246
590,39.93,73,1.43238239960888
600,40.42,72,1.40702978488344
610,40.42,71,1.38368653230554
620,40.42,69,1.36227512124427
630,39.93,69,1.35868588535421
640,40.42,68,1.34049898024269
650,39.93,68,1.33934993600613
660,39.93,68,1.33887780852572
670,40.42,67,1.32299808090092
680,39.93,68,1.32359139185637
690,39.93,68,1.32463518558097
700,38.95,69,1.35761601367063
710,38.95,71,1.38951173445598
720,39.93,71,1.38788723621912
730,39.93,71,1.38509657023196
740,38.95,72,1.41377636161578
750,39.44,73,1.42595035356788
760,39.93,72,1.421398664817
770,39.93,72,1.41645026337888
780,39.93,72,1.41182794822857
790,40.42,71,1.39195029766701
800,39.93,71,1.38898132773442
810,39.93,71,1.38687115205153
820,40.42,70,1.36953710697506
830,39.93,70,1.36884499580472
840,39.93,70,1.36875329540761
850,39.44,71,1.38488845146177
860,39.93,71,1.38473254400238
870,39.93,71,1.38425418614344
880,39.93,71,1.38362574890548
890,39.44,71,1.39897422096456
900,40.42,70,1.38225175856157
910,39.93,70,1.38164658989932
920,39.44,71,1.39717814684699
930,39.93,71,1.39673385969427
940,39.44,72,1.41185297440749
950,39.44,73,1.42633596468351
960,39.44,73,1.44008911962643
970,39.93,73,1.43708071220632
980,39.44,74,1.44960647420689
990,38.95,75,1.47760699134988
1000,39.93,92,1.79951432684672
1010,39.44,108,2.12282702354355
1020,39.93,123,2.41163941068506
1030,40.42,136,2.66288664222813
1040,41.4,146,2.86355765170956
1050,41.89,155,3.03332131350815
1060,42.38,162,3.17560987204469
1070,43.84,166,3.2619740744922
1080,44.33,170,3.3271140732704
1090,45.8,170,3.34209990974911
1100,46.77,170,3.32628708439678
1110,46.77,169,3.31365503769646
1120,47.75,167,3.27390988967226
1130,49.22,163,3.19236368901647
1140,49.71,158,3.10251736824778
1150,50.68,153,2.99037530639893
1160,51.17,147,2.87277275900897
1170,51.66,140,2.75023856123798
1180,52.15,134,2.6230650458117
1190,52.15,128,2.50707939471396
1200,51.66,123,2.41757405775295
1210,51.66,119,2.33726451944404
1220,52.15,115,2.24883390998231
1230,51.17,112,2.19914616563238
1240,52.15,108,2.12337539320354
1250,51.17,106,2.08470082822391
1260,50.68,105,2.06591107532756
1270,51.17,104,2.03400952171823
1280,50.68,103,2.01990550278614
1290,50.68,102,2.00711561656452
1300,50.68,102,1.99531179117141
1310,50.68,101,1.98410391635059
1320,49.71,102,2.00476766301333
1330,48.73,105,2.05653217540533
1340,48.73,107,2.10588876428314
1350,48.73,110,2.15168479797298
1360,48.73,112,2.19371242502836
1370,48.73,114,2.23235415750474
1380,48.24,116,2.28383377003037
1390,48.24,119,2.33213795870505
1400,48.24,121,2.37720706846027
1410,48.73,123,2.40328642313363
1420,49.71,122,2.39539807252955
1430,49.22,123,2.40279983680534
1440,48.73,124,2.4261857736904
1450,49.22,124,2.43350560057789
1460,49.22,124,2.44047924741883
1470,49.22,125,2.44727889620613
1480,49.71,124,2.43834455636077
1490,50.2,123,2.4141987180682
1500,49.22,124,2.42325137299072
1510,50.2,122,2.4016358084282
1520,48.73,124,2.42893828665086
1530,50.68,122,2.39317127838792
1540,50.2,121,2.37422397591255
1550,50.2,120,2.35679148575437
1560,50.2,119,2.34137281421969
1570,49.71,120,2.34336262701901
1580,50.2,119,2.33037476438983
1590,50.2,118,2.31823666395586
1600,50.68,117,2.2914699614331
1610,51.17,115,2.25042358766744
1620,50.2,114,2.24307689487852
1630,50.2,114,2.2374855764144
1640,51.17,112,2.20154312559663
1650,50.2,112,2.19834003907109
1660,50.68,111,2.18061949200928
1670,50.2,111,2.17952244174126
1680,50.68,110,2.16326296084032
1690,50.68,110,2.14765848818321
1700,49.71,110,2.16414285836543
1710,49.71,111,2.18050727487094
1720,49.22,113,2.2117730531825
1730,49.71,113,2.22527724283982
1740,50.2,113,2.2212897549692
1750,49.71,114,2.23233614516587
