Tempo_s,Temperatura_C,PWM_0_255,Tensao_V
1760,49.22,115,2.25868717657979
1770,48.73,117,2.29976115007324
1780,49.22,118,2.32279191274472
1790,48.73,120,2.3595064924414
1800,49.22,121,2.37806430334034
1810,50.2,121,2.36324262942048
1820,50.2,120,2.34811968576498
1830,49.22,121,2.36554928600198
1840,50.2,120,2.35161558817716
1850,50.2,119,2.33819619982913
1860,50.68,118,2.31000608798387
1870,49.71,118,2.31488470720166
1880,50.2,118,2.30485256484012
1890,50.2,117,2.29560703974559
1900,50.68,116,2.27141663299337
1910,50.68,115,2.24849473092058
1920,50.2,114,2.24264431668197
1930,50.2,114,2.23794455495242
1940,49.71,115,2.24970484364341
1950,50.2,115,2.24537059444319
1960,49.71,115,2.25672508420619
1970,50.2,115,2.25171538668999
1980,50.2,115,2.24660128979026
1990,50.2,114,2.24155121343773
2000,50.2,89,1.74696351735281
2010,50.2,65,1.27354618478703
2020,50.2,42,0.827744522853806
2030,49.22,23,0.446846351718296
2040,49.22,5,0.10466616893761
2050,47.75,0,0
2060,45.8,0,0
2070,44.82,0,0
2080,44.33,0,0
2090,42.86,0,0
2100,41.4,0,0
2110,39.93,0,0
2120,39.44,0,0
2130,38.47,1,0.0103784565069384
2140,37,3,0.0639157112806964
2150,36.51,6,0.127236702644771
2160,36.02,10,0.198956817001803
2170,35.53,14,0.278100617904896
2180,34.56,19,0.379857606898857
2190,34.07,25,0.487938925029964
2200,34.07,30,0.58592134080932
2210,33.58,35,0.689793347761618
2220,33.58,40,0.784013457708022
2230,33.09,45,0.885085352838524
2240,33.09,50,0.977398803084325
2250,33.09,54,1.061523054837
2260,33.58,57,1.12227536467767
2270,34.07,59,1.16103154543015
2280,34.07,61,1.19529614667295
2290,34.07,63,1.22631275162371
2300,34.07,64,1.25477255943351
2310,34.56,65,1.26516023052239
2320,35.53,63,1.24274356571181
2330,35.04,63,1.23635571703752
2340,35.53,62,1.21491109625036
2350,36.02,60,1.17900329568434
2360,36.02,58,1.14502488870693
2370,36.51,56,1.09761876407423
2380,37,53,1.0373297644997
2390,36.51,51,0.996476003430231
2400,35.53,51,0.990687914777731
2410,36.51,49,0.955043156997213
2420,36.51,47,0.920932119898429
2430,37,45,0.872598713732946
2440,36.51,43,0.842587905947292
2450,37,41,0.798866298223503
2460,36.02,40,0.789103739522784
2470,36.51,39,0.764631073069968
2480,35.53,39,0.772777734185569
2490,35.53,40,0.780577268566598
2500,35.53,40,0.787460749110119
2510,36.02,40,0.777123104390933
2520,36.02,39,0.766048117385938
2530,35.04,40,0.78642504833686
2540,35.53,40,0.790001854965951
2550,35.04,41,0.808257351912238
2560,35.53,41,0.808979510165295
2570,35.04,42,0.824386458031129
2580,35.53,42,0.82255829213721
2590,34.56,43,0.851224419840312
2600,35.04,44,0.862732613475774
2610,34.56,45,0.888243813939695
2620,34.56,47,0.911771035724444
2630,34.56,48,0.933369939798816
2640,35.53,47,0.921629485547453
2650,35.53,46,0.909154617560511
2660,35.04,47,0.91271944224086
2670,35.04,47,0.916511341239144
2680,35.04,47,0.92011782804887
2690,35.04,47,0.923283674470192
2700,34.56,48,0.941558847370159
2710,34.56,49,0.958956567595056
2720,34.07,51,0.991000013606896
2730,35.04,50,0.989820439548555
2740,35.04,50,0.987574030797621
2750,35.04,50,0.984940855152913
2760,36.02,48,0.950830890324605
2770,35.53,48,0.933825080485989
2780,36.02,46,0.902443237471762
2790,36.02,45,0.873027014216685
2800,35.53,44,0.861375132300386
2810,36.02,43,0.835338252189676
2820,36.02,41,0.810695829715458
2830,35.53,41,0.803274285390163
2840,35.53,41,0.796818149836413
2850,35.53,40,0.790800600713336
2860,35.04,41,0.800729258427311
2870,35.04,41,0.810207804340824
2880,35.04,42,0.818852335647224
2890,35.04,42,0.826469863042749
2900,34.07,44,0.864519981143403
2910,34.56,45,0.884871052078364
2920,35.04,45,0.887730632276615
2930,35.04,45,0.889214086319483
2940,35.04,45,0.890148819911891
2950,35.04,45,0.890892242471653
2960,34.56,46,0.90701306722394
2970,35.04,46,0.906986697048566
2980,35.04,46,0.906494434475523
2990,34.56,47,0.921247888061889
3000,35.04,47,0.919992932582729
