Tempo_s,Temperatura_C,Setpoint_C,PWM_aplicado,Parametro_a1,Parametro_b0,P11,P22
0.0022362,25.76,40,255,0.999999489773391,0.0099,0.00150696027278076,101.010101010101
10.0032137,26.25,40,255,0.999,0.0099,0.000757272145951118,102.030405060708
20.0107431,28.2,40,255,0.999,0.0099,0.000500905027002733,103.061015212836
30.0303933,31.62,40,255,0.999,0.0099,0.000360794279720847,104.102035568522
40.0497792,34.56,40,255,0.999,0.00439404813527929,0.000364438646963848,2.09823052544361e-05
50.0532463,37.49,40,253,0.999,0.00405345617137277,0.00036753805077809,1.39196809776281e-05
101.0968358,50.68,40,138,0.999,0.0158003158840818,0.000369494901464854,1.19712184877031e-05
111.4483959,52.15,40,63,0.999,0.0136283997026195,0.000348086535547661,1.1904875987437e-05
121.4521085,52.64,40,17,0.999,0.0124942775430395,0.000334571052516803,1.19630494011485e-05
131.4539634,51.66,40,0,0.999,0.0117650168858248,0.000325742260199016,1.20612818817721e-05
141.4541659,51.17,40,0,0.989707162976355,0.0140633003393266,0.000263486347760443,1.10667653020256e-05
151.4782076,49.22,40,0,0.972616223684986,0.0168791731845426,0.000187688839051871,9.04876017640381e-06
161.4861291,49.22,40,0,0.979218951261966,0.0156818422784261,0.000135245569324279,7.35328667642195e-06
171.5028779,47.26,40,0,0.974484411011913,0.0165734626335101,0.000102641727226881,6.22280561301416e-06
181.5191498,45.8,40,0,0.973473329810369,0.0167638719514854,8.41842415336277e-05,5.59429098169087e-06
191.5290102,45.31,40,0,0.975869235215872,0.0163126691069478,7.21627727717364e-05,5.19429548350234e-06
201.5363893,43.84,40,0,0.974787232019305,0.0165164346308155,6.34035756961467e-05,4.9102637752428e-06
211.554544,42.86,40,0,0.975100547692821,0.016457430246584,5.70248745438565e-05,4.71092605411995e-06
221.5700971,41.4,40,0,0.974223583008754,0.0166225824095623,5.20892355376158e-05,4.563038613211e-06
237.091593,39.44,40,5,0.972439577311354,0.0169585507843944,4.82629996488414e-05,4.45477085940471e-06
247.1435469,39.44,40,8,0.97438222620541,0.0165927063295495,4.53142325057148e-05,4.37789992845996e-06
257.1628881,37.98,40,17,0.97362447552319,0.0167354078162121,4.27296483292652e-05,4.31422475631944e-06
267.1984564,37.49,40,26,0.974414189767603,0.0165866868722913,4.06315689945085e-05,4.26808635889546e-06
277.2358963,36.51,40,38,0.974266702021811,0.016613058246238,3.89090218082156e-05,4.2430056574029e-06
287.2527907,36.02,40,49,0.974682146270423,0.01654157288037,3.74971527281887e-05,4.23242516715655e-06
297.2788038,36.51,40,55,0.976018729585481,0.0163413697894862,3.63945089880433e-05,4.2419398717172e-06
307.2912607,37,40,57,0.977068837633466,0.0162097431940053,3.54679015916527e-05,4.26445339665467e-06
317.3026514,36.51,40,61,0.976804821536133,0.0162328780230723,3.47374715656827e-05,4.29916925337805e-06
327.3280407,36.02,40,67,0.976404539665134,0.0162496943519737,3.42282347469261e-05,4.34107714249753e-06
337.3316493,37,40,67,0.977188771287409,0.0162415015636305,3.38507635649337e-05,4.3848474769909e-06
347.3368328,36.51,40,70,0.97670901406249,0.0162452977659898,3.34663201072028e-05,4.42909338634673e-06
357.3530064,37.49,40,68,0.977363057749856,0.0162572380873871,3.31788926265041e-05,4.47362324191942e-06
367.3537787,37,40,69,0.97681272712808,0.0162328238995127,3.29287584490952e-05,4.51765950311828e-06
377.3786495,37,40,70,0.976646705056866,0.016224504854665,3.27231260318957e-05,4.56194098916603e-06
387.3889882,37,40,71,0.97645990564063,0.016211206212914,3.25667226219254e-05,4.60555323599644e-06
397.4031754,37.98,40,67,0.976976120766731,0.0162404142862216,3.24064133804539e-05,4.65050762350027e-06
407.4290233,37.98,40,65,0.976803800344256,0.016231645512861,3.22289672754685e-05,4.69617534610443e-06
417.4526933,37.49,40,66,0.9762974221904,0.0162021611341523,3.20792117933117e-05,4.74200006424287e-06
427.4644496,38.47,40,62,0.976760319898399,0.0162360829295676,3.19761456127349e-05,4.78760546486984e-06
437.4652357,37.98,40,62,0.976285668745804,0.016222370171278,3.18033874392216e-05,4.8355513423281e-06
447.4788755,38.95,40,58,0.976842785545783,0.0162338068593392,3.16458986418833e-05,4.88419355001898e-06
457.4790501,38.95,40,54,0.976725409539308,0.0162319519023555,3.14721121486394e-05,4.93340560025302e-06
467.4848074,38.47,40,55,0.976312353831129,0.0162369584519286,3.12683507168055e-05,4.98316134126762e-06
477.502861,38.95,40,53,0.976576176190182,0.0162351725670754,3.11009623502197e-05,5.03347416123931e-06
487.5282693,38.47,40,54,0.976208644773522,0.0162495605702569,3.08801514624744e-05,5.08349748333099e-06
497.528409,38.47,40,54,0.976236158890522,0.0162479021958107,3.0647648961673e-05,5.13286810494043e-06
507.5286023,38.95,40,53,0.976591028891264,0.0162287948929319,3.04416383458573e-05,5.18322054164835e-06
517.5287334,38.95,40,52,0.976628666943569,0.0162261222976812,3.02042024765337e-05,5.23282872334015e-06
527.5303841,39.44,40,49,0.977000358850201,0.0162021202302373,2.99933598139296e-05,5.28353415218448e-06
537.5391353,37.98,40,54,0.97598290682023,0.0162723430518665,2.97752683765446e-05,5.33442112584359e-06
547.5528168,37.98,40,58,0.97601616174819,0.0162702804274367,2.96183291067185e-05,5.3865433725714e-06
557.5560025,38.95,40,56,0.976707826871146,0.0162224242866121,2.94602768330659e-05,5.4387640527963e-06
567.5714721,38.95,40,55,0.976787860693505,0.0162145680473959,2.92375724677709e-05,5.48868778473786e-06
577.5789278,38.47,40,56,0.97648993493048,0.0162334928246932,2.90869868554657e-05,5.54232980211981e-06
587.5878558,38.95,40,55,0.976757127051658,0.0162266943689585,2.90085241223732e-05,5.59807192308565e-06
597.6054919,38.47,40,57,0.976454168309623,0.0162413862970096,2.88996033845808e-05,5.65367285201154e-06
607.6168297,38.47,40,59,0.976461866700629,0.0162409929308992,2.88056978795426e-05,5.70977331074187e-06
617.6290947,38.95,40,57,0.976746636907085,0.0162289122508235,2.87308796703187e-05,5.76678949540261e-06
